Entity,latitude,longitude,1960Perc_Urban,1970Perc_Urban,1980Perc_Urban,1990Perc_Urban,2000Perc_Urban,2010Perc_Urban,2017Perc_Urban,,,,,,,,,,,,,,,,,,,,
Afghanistan,33.94,67.71,8.40,11.64,16.00,21.18,22.08,23.74,25.25,,,,,,,,,,,,,,,,,,,,
Albania,41.15,20.17,30.70,31.74,33.76,36.43,41.74,52.16,59.38,,,,,,,,,,,,,,,,,,,,
Algeria,28.03,1.66,30.51,39.50,43.54,52.08,59.92,67.54,72.05,,,,,,,,,,,,,,,,,,,,
American Samoa,-14.27,-170.13,66.21,70.38,74.33,80.95,88.59,87.59,87.17,,,,,,,,,,,,,,,,,,,,
Andorra,42.55,1.60,58.45,80.15,92.06,94.71,92.39,88.82,88.15,,,,,,,,,,,,,,,,,,,,
Angola,-11.20,17.87,10.43,14.96,24.30,37.14,50.09,59.78,64.84,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,17.06,-61.80,39.66,33.82,34.62,35.43,32.13,26.24,24.71,,,,,,,,,,,,,,,,,,,,
Argentina,-38.42,-63.62,73.61,78.88,82.89,86.98,89.14,90.85,91.75,,,,,,,,,,,,,,,,,,,,
Armenia,40.07,45.04,51.27,59.86,66.05,67.42,64.67,63.44,63.10,,,,,,,,,,,,,,,,,,,,
Aruba,12.52,-69.97,50.78,50.62,50.47,50.32,46.72,43.06,43.29,,,,,,,,,,,,,,,,,,,,
Australia,-25.27,133.78,81.53,84.00,85.55,85.43,84.24,85.18,85.90,,,,,,,,,,,,,,,,,,,,
Austria,47.52,14.55,64.72,65.26,65.39,62.96,60.21,57.40,58.09,,,,,,,,,,,,,,,,,,,,
Azerbaijan,40.14,47.58,52.66,50.01,52.78,53.75,51.39,53.41,55.34,,,,,,,,,,,,,,,,,,,,
Bahamas,25.03,-77.40,59.71,66.76,73.10,79.84,82.01,82.43,82.92,,,,,,,,,,,,,,,,,,,,
Bahrain,25.93,50.64,82.32,83.78,86.10,88.14,88.37,88.63,89.19,,,,,,,,,,,,,,,,,,,,
Bangladesh,23.68,90.36,5.13,7.59,14.85,19.81,23.59,30.46,35.86,,,,,,,,,,,,,,,,,,,,
Barbados,13.19,-59.54,36.78,37.55,40.10,37.37,33.83,31.87,31.16,,,,,,,,,,,,,,,,,,,,
Belarus,53.71,27.95,32.40,44.01,56.50,65.98,69.97,74.67,78.13,,,,,,,,,,,,,,,,,,,,
Belgium,50.50,4.47,92.46,93.84,95.38,96.38,97.13,97.65,97.96,,,,,,,,,,,,,,,,,,,,
Belize,17.19,-88.50,54.03,50.96,49.37,47.47,45.40,45.23,45.60,,,,,,,,,,,,,,,,,,,,
Benin,9.31,2.32,9.28,16.69,27.34,34.48,38.33,43.09,46.77,,,,,,,,,,,,,,,,,,,,
Bermuda,32.32,-64.76,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,,,,,,,,,,,,,,,,,,,
Bhutan,27.51,90.43,3.60,6.09,10.13,16.39,25.42,34.79,40.17,,,,,,,,,,,,,,,,,,,,
Bolivia,-16.29,-63.59,36.76,39.78,45.45,55.58,61.79,66.43,69.08,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,43.92,17.68,19.04,27.20,35.54,39.25,42.38,45.56,47.88,,,,,,,,,,,,,,,,,,,,
Botswana,-22.33,24.68,3.06,7.83,16.48,41.93,53.22,62.41,68.70,,,,,,,,,,,,,,,,,,,,
Brazil,-14.24,-51.93,46.14,55.91,65.47,73.92,81.19,84.33,86.31,,,,,,,,,,,,,,,,,,,,
British Virgin Islands,18.42,-64.64,12.22,16.64,22.74,37.82,41.77,44.81,47.34,,,,,,,,,,,,,,,,,,,,
Brunei,4.54,114.73,43.40,61.67,64.95,66.44,71.16,74.96,77.31,,,,,,,,,,,,,,,,,,,,
Bulgaria,42.73,25.49,37.10,52.30,62.10,66.38,68.90,72.30,74.67,,,,,,,,,,,,,,,,,,,,
Burkina Faso,12.24,-1.56,4.70,5.75,8.80,13.81,17.84,24.63,28.74,,,,,,,,,,,,,,,,,,,,
Burundi,-3.37,29.92,2.08,2.85,4.34,6.27,8.25,10.64,12.71,,,,,,,,,,,,,,,,,,,,
